Industry Vertical,SubVertical,City  Location,InvestmentnType,Amount in USD,Amount
Consumer Internet,Online wedding services marketplace,Hyderabad,Seed Funding,"4,00,000",4
Consumer Internet,Hotel reservations & Deal platform,Noida,Seed Funding,"1,50,000",1.5
E-Commerce,B2B commerce Marketplace,Gurgaon,Private Equity,"50,00,000",50
Consumer Internet,Digital Payments solutions,Bangalore,Private Equity,"58,00,000",58
E-Commerce,Party Supplies Etailer,New Delhi,Seed Funding,"70,000",0.7
Technology,IoT retail solutions,New Delhi,Seed Funding,"1,45,000",1.45
Consumer Internet,Skill development and vocational training platform,Mumbai,Private Equity,"25,00,000",25
E-Commerce,Baby & Kids Products Online Flash sales platform,Mumbai,Private Equity,"1,30,00,000",130
Food & Beverages,Craft Beer manufacturing company,New Delhi,Private Equity,"60,00,000",60
Education,Child Disorder Information & Education,Bhopal,Seed Funding,"1,00,000",1
Consumer Internet,Ride Sharing platform,Bangalore,Seed Funding,"1,50,000",1.5
Consumer Internet,Cloud Mobility Solutions,Mumbai,Private Equity,"50,00,000",50
Technology,"TV Search, Guide and Remote mobile app",Bangalore,Seed Funding,"7,50,000",7.5
Consumer Internet,Bitcoin Buying & Selling Mobile App,Ahmedabad,Private Equity,"10,00,000",10
Health and wellness,Medical Tourism platform,Pune,Seed Funding,"1,50,000",1.5
Education,Children Education & Information platform,Gurgaon,Private Equity,"30,00,000",30
Education,School Student admissions platform,New Delhi,Seed Funding,"7,50,000",7.5
Consumer Internet,Online Furniture Customization platform,Bangalore,Seed Funding,"1,60,000",1.6
Education,Mobile Based Education platform,Jaipur,Seed Funding,"1,00,000",1
Consumer Internet,Online Travel/Hotel Booking platform,Gurgaon,Private Equity,"18,00,00,000",1800
E-Commerce,Online/ Mobile Jewellery Retailer,Bangalore,Private Equity,"50,00,000",50
Consumer Internet,Train PNR Status Prediction Platform,Bangalore,Seed Funding,"2,50,000",2.5
Education,Career Planning and Education Advisory Platform,Mumbai,Seed Funding,"45,000",0.45
E-Commerce,Online Fashion Apparel Retailer,Gurgaon,Private Equity,"54,00,000",54
Consumer Internet,Online / Mobile Food Ordering platform,Bangalore,Private Equity,"1,65,00,000",165
E-Commerce,Last Minute Hotel Bookings mobile marketplace,Bangalore,Seed Funding,"10,00,000",10
E-Commerce,E-Commerce Marketplace,Gurgaon,Private Equity,"10,00,00,000",1000
Technology,Next Generation in-building connectivity,Bangalore,Private Equity,"23,00,000",23
Consumer Internet,Mobile based Referral Platform,Mumbai,Seed Funding,"2,50,000",2.5
Consumer Internet,Auto Classifieds Portal,Mumbai,Private Equity,"14,50,00,000",1450
Consumer Internet,peer-to-peer renting Marketplace,Bangalore,Seed Funding,"1,00,000",1
Consumer Internet,inter-city cab aggregator,New Delhi,Seed Funding,"2,40,000",2.4
Health and wellness,Professional Health Services Platform,Mumbai,Private Equity,"40,00,000",40
Consumer Internet,Carpooling Mobile App,Gurgaon,Seed Funding,"5,20,000",5.2
Consumer Internet,Fitness related Social Networking App & Forum,Gurgaon,Seed Funding,"2,00,000",2
Consumer Internet,SaaS DIY\\xc2\\xa0 E-Commerce Platform,New Delhi,Private Equity,"60,00,000",60
Consumer Internet,Online/Mobile food ordering platform,Bangalore,Private Equity,"3,50,00,000",350
E-Commerce,Mobile Accessories etailer,New Delhi,Private Equity,"14,00,000",14
Technology,Local language Mobile OS,Mumbai,Private Equity,"50,00,000",50
Consumer Internet,Educational College Search platform,New Delhi,Seed Funding,"4,45,000",4.45
Finance,Social Business Incubator & Fund,Chennai,Private Equity,"35,00,000",35
E-Commerce,B2B Industrial Goods Marketplace,New Delhi,Private Equity,"18,00,000",18
E-Commerce,B2B Marketplace for Distributors,Mumbai,Private Equity,"2,00,00,000",200
E-Commerce,Adult Products Etailers,New Delhi / US,Private Equity,"40,00,000",40
Consumer Internet,Social Meeting organizer App,Mumbai / UK,Seed Funding,"40,000",0.4
Consumer Internet,Personal Finance Mobile App,Bangalore,Seed Funding,"5,00,000",5
Consumer Internet,Online insurance policy aggregator,Noida,Private Equity,"22,00,000",22
Consumer Internet,Online Real Estate Portal,Mumbai,Private Equity,"1,50,00,000",150
Technology,Smartphone OS Developer,Bangalore,Private Equity,"30,00,000",30
Consumer Internet,Hindi Language Social Networking Portal,Kanpur,Seed Funding,"2,00,000",2
E-Commerce,Mobile based Retail Market Ecosystem,Bangalore,Private Equity,"72,00,000",72
Technology,Home Automation & Security Solutions,Bangalore,Seed Funding,"5,15,000",5.15
Technology,Electronic Payments Solution Company,Mumbai,Private Equity,"3,50,00,000",350
Technology,Enterprise Cloud Based Data Processing,Bangalore,Private Equity,"3,00,00,000",300
Consumer Internet,Photography curation & Aggregator platform,Mumbai,Seed Funding,"1,50,000",1.5
Consumer Internet,SME Online Buying Hub,Gurgaon,Private Equity,"2,10,00,000",210
E-Commerce,Construction Material ETailer,Gurgaon,Private Equity,"40,00,000",40
Technology,"Sales, Market, Distribution & Data Analytics Platform",Bangalore,Seed Funding,"10,00,000",10
Technology,Data Intelligence & Analytics,Hyderabad,Seed Funding,"10,00,000",10
FMCG,Vegetables & Fruits Supply Chain,Mumbai,Seed Funding,"3,70,000",3.7
Consumer Internet,Online Fitness & Educational information Aggregator,Jodhpur,Seed Funding,"1,60,000",1.6
Consumer Internet,Indians focused Matchmaking App,Bangalore,Seed Funding,"1,85,000",1.85
Consumer Internet,Fresh Food Delivery platform,Bangalore,Private Equity,"1,70,00,000",170
E-Commerce,Online marketplace for cars,Mumbai,Private Equity,"51,50,000",51.5
Technology,Mobile & Cloud based App developer,New Delhi,Private Equity,"11,00,000",11
